lang	lang_desc	denom	num	pct100str	pct100
jv	Javanese	2204	436	19.8	19.782214156079856
kl	Greenlandic	2204	432	19.6	19.600725952813068
ceb	Cebuano	2204	426	19.3	19.328493647912886
sah	Yakut	2204	410	18.6	18.602540834845733
za	Zhuang	2204	409	18.6	18.557168784029038
gv	Manx	2204	406	18.4	18.42105263157895
sco	Scots	2204	404	18.3	18.330308529945555
crh	Crimean Tatar	2204	399	18.1	18.103448275862068
mnc	Manchu	2204	396	18.0	17.96733212341198
sc	Sardinian	2204	396	18.0	17.96733212341198
dng	Dungan	2204	384	17.4	17.422867513611614
or	Odia	2204	380	17.2	17.24137931034483
hak	Hakka	2204	369	16.7	16.74228675136116
ltg	Latgalian	2204	355	16.1	16.107078039927405
wuu	Wu	2204	348	15.8	15.789473684210526
prs	Dari	2204	343	15.6	15.562613430127042
aii	Assyrian Neo-Aramaic	2204	343	15.6	15.562613430127042
om	Oromo	2204	340	15.4	15.426497277676951
os	Ossetian	2204	336	15.2	15.245009074410163
enm	Middle English	2204	329	14.9	14.927404718693285
yo	Yoruba	2204	327	14.8	14.836660617059891
ti	Tigrinya	2204	325	14.7	14.745916515426497
ab	Abkhaz	2204	322	14.6	14.609800362976406
cv	Chuvash	2204	322	14.6	14.609800362976406
bcl	Central Bikol	2204	320	14.5	14.519056261343012
an	Aragonese	2204	319	14.5	14.473684210526315
rue	Carpathian Rusyn	2204	314	14.2	14.246823956442832
zu	Zulu	2204	312	14.2	14.156079854809438
gug	Paraguayan Guarani	2204	311	14.1	14.11070780399274
oj	Ojibwe	2204	303	13.7	13.747731397459166
so	Somali	2204	297	13.5	13.475499092558984
cdo	Eastern Min	2204	296	13.4	13.430127041742287
nap	Neapolitan	2204	286	13.0	12.976406533575318
xal	Kalmyk	2204	284	12.9	12.885662431941924
lmo	Lombard	2204	281	12.7	12.749546279491833
zdj	Ngazidja Comorian	2204	276	12.5	12.522686025408348
lad	Ladino	2204	272	12.3	12.341197822141561
csb	Kashubian	2204	269	12.2	12.20508166969147
mg	Malagasy	2204	259	11.8	11.751361161524501
tet	Tetum	2204	259	11.8	11.751361161524501
sm	Samoan	2204	254	11.5	11.524500907441016
udm	Udmurt	2204	254	11.5	11.524500907441016
myv	Erzya	2204	249	11.3	11.297640653357531
khb	Lü	2204	248	11.3	11.252268602540834
rom	Romani	2204	242	11.0	10.980036297640654
dphw	Egyptian	2204	241	10.9	10.934664246823957
su	Sundanese	2204	241	10.9	10.934664246823957
bua	Buryat	2204	234	10.6	10.617059891107077
to	Tongan	2204	234	10.6	10.617059891107077
mfe	Mauritian Creole	2204	229	10.4	10.390199637023594
av	Avar	2204	229	10.4	10.390199637023594
bho	Bhojpuri	2204	224	10.2	10.163339382940109
